Source,Target,Type,Id,Label,timeset,Weight
PDT,PDT,Directed,0,,,0.387008
PDT,PV,Directed,1,,,0.254886
PDT,PATRI,Directed,2,,,0.255161
PDT,PC DO B,Directed,3,,,0.179741
PDT,PSOL,Directed,4,,,0.050372
PDT,MDB,Directed,5,,,0.566749
PDT,PCB,Directed,6,,,0.001652
PDT,PHS,Directed,7,,,0.304156
PDT,NOVO,Directed,8,,,0.013212
PDT,PROS,Directed,9,,,0.181668
PDT,PP,Directed,10,,,0.420314
PDT,PPS,Directed,11,,,0.190751
PDT,PTB,Directed,12,,,0.350674
PDT,PSTU,Directed,13,,,0.000275
PDT,PSB,Directed,14,,,0.400771
PDT,PSD,Directed,15,,,0.469309
PDT,PRB,Directed,16,,,0.260391
PDT,PRP,Directed,17,,,0.125241
PDT,PT,Directed,18,,,0.124966
PDT,DC,Directed,19,,,0.11368
PDT,DEM,Directed,20,,,0.333333
PDT,PMB,Directed,21,,,0.265621
PDT,SD,Directed,22,,,0.508946
PDT,PODE,Directed,23,,,0.278558
PDT,PR,Directed,24,,,0.290944
PDT,PRTB,Directed,25,,,0.093311
PDT,PMN,Directed,26,,,0.127993
PDT,PTC,Directed,27,,,0.145885
PDT,PPL,Directed,28,,,0.067713
PDT,AVANTE,Directed,29,,,0.113955
PDT,REDE,Directed,30,,,0.153867
PDT,PSC,Directed,31,,,0.220754
PDT,PSDB,Directed,32,,,0.391412
PDT,PSL,Directed,33,,,0.237545
PV,PDT,Directed,34,,,0.191302
PV,PV,Directed,35,,,0.159372
PV,PATRI,Directed,36,,,0.146986
PV,PC DO B,Directed,37,,,0.081751
PV,PSOL,Directed,38,,,0.028076
PV,MDB,Directed,39,,,0.279934
PV,PCB,Directed,40,,,0.000551
PV,PHS,Directed,41,,,0.1624
PV,NOVO,Directed,42,,,0.012662
PV,PP,Directed,43,,,0.208643
PV,PTB,Directed,44,,,0.131847
PV,PSTU,Directed,45,,,0.001376
PV,PMN,Directed,46,,,0.07542
PV,PSB,Directed,47,,,0.254611
PV,PROS,Directed,48,,,0.142582
PV,PSD,Directed,49,,,0.350399
PV,PRB,Directed,50,,,0.186347
PV,PT,Directed,51,,,0.046243
PV,DC,Directed,52,,,0.078723
PV,DEM,Directed,53,,,0.187448
PV,PMB,Directed,54,,,0.139829
PV,SD,Directed,55,,,0.255436
PV,PODE,Directed,56,,,0.137903
PV,PR,Directed,57,,,0.224883
PV,PPS,Directed,58,,,0.148913
PV,PRTB,Directed,59,,,0.111203
PV,REDE,Directed,60,,,0.108175
PV,PTC,Directed,61,,,0.085879
PV,PRP,Directed,62,,,0.107625
PV,PPL,Directed,63,,,0.0545
PV,AVANTE,Directed,64,,,0.065786
PV,PSC,Directed,65,,,0.16763
PV,PSDB,Directed,66,,,0.274429
PV,PSL,Directed,67,,,0.127168
PATRI,PDT,Directed,68,,,0.063309
PATRI,PV,Directed,69,,,0.064685
PATRI,PATRI,Directed,70,,,0.049271
PATRI,AVANTE,Directed,71,,,0.028902
PATRI,PSL,Directed,72,,,0.034682
PATRI,MDB,Directed,73,,,0.074869
PATRI,PPS,Directed,74,,,0.03248
PATRI,PHS,Directed,75,,,0.05395
PATRI,NOVO,Directed,76,,,0.002753
PATRI,PP,Directed,77,,,0.052023
PATRI,PRP,Directed,78,,,0.031104
PATRI,PROS,Directed,79,,,0.03771
PATRI,PSB,Directed,80,,,0.061657
PATRI,PC DO B,Directed,81,,,0.022571
PATRI,PRB,Directed,82,,,0.046243
PATRI,PTB,Directed,83,,,0.041839
PATRI,PT,Directed,84,,,0.009634
PATRI,PSOL,Directed,85,,,0.007707
PATRI,PMB,Directed,86,,,0.051748
PATRI,DEM,Directed,87,,,0.049546
PATRI,PCO,Directed,88,,,0.000275
PATRI,DC,Directed,89,,,0.040738
PATRI,SD,Directed,90,,,0.069639
PATRI,PODE,Directed,91,,,0.039912
PATRI,PSD,Directed,92,,,0.119736
PATRI,PRTB,Directed,93,,,0.020644
PATRI,PMN,Directed,94,,,0.025048
PATRI,PTC,Directed,95,,,0.036609
PATRI,PPL,Directed,96,,,0.033031
PATRI,PR,Directed,97,,,0.045417
PATRI,REDE,Directed,98,,,0.028902
PATRI,PSC,Directed,99,,,0.058079
PATRI,PSDB,Directed,100,,,0.05395
PATRI,PSTU,Directed,101,,,0.000275
PC DO B,PDT,Directed,102,,,0.198459
PC DO B,PV,Directed,103,,,0.103771
PC DO B,PATRI,Directed,104,,,0.130195
PC DO B,PC DO B,Directed,105,,,0.087256
PC DO B,PSOL,Directed,106,,,0.035783
PC DO B,MDB,Directed,107,,,0.202312
PC DO B,PCB,Directed,108,,,0.001101
PC DO B,PHS,Directed,109,,,0.120011
PC DO B,NOVO,Directed,110,,,0.006881
PC DO B,PP,Directed,111,,,0.153867
PC DO B,PT,Directed,112,,,0.057253
PC DO B,PROS,Directed,113,,,0.091385
PC DO B,AVANTE,Directed,114,,,0.051748
PC DO B,PMN,Directed,115,,,0.055877
PC DO B,PSB,Directed,116,,,0.148362
