Source,Target,Type,Id,Label,timeset,Weight
PDT,PDT,Directed,0,,,0.464435
PDT,PV,Directed,1,,,0.205012
PDT,PATRI,Directed,2,,,0.104859
PDT,PC DO B,Directed,3,,,0.203154
PDT,PSOL,Directed,4,,,0.085786
PDT,MDB,Directed,5,,,0.513231
PDT,PCB,Directed,6,,,0.003261
PDT,PHS,Directed,7,,,0.162284
PDT,NOVO,Directed,8,,,0.011312
PDT,PROS,Directed,9,,,0.101267
PDT,PP,Directed,10,,,0.33043
PDT,PPS,Directed,11,,,0.141312
PDT,PRP,Directed,12,,,0.081699
PDT,PSL,Directed,13,,,0.125294
PDT,PSB,Directed,14,,,0.292367
PDT,PSD,Directed,15,,,0.340379
PDT,PRB,Directed,16,,,0.173141
PDT,PTB,Directed,17,,,0.273542
PDT,PT,Directed,18,,,0.287784
PDT,DC,Directed,19,,,0.079098
PDT,DEM,Directed,20,,,0.215167
PDT,PCO,Directed,21,,,0.001404
PDT,PMB,Directed,22,,,0.044957
PDT,SD,Directed,23,,,0.25096
PDT,PODE,Directed,24,,,0.130702
PDT,PR,Directed,25,,,0.196673
PDT,PRTB,Directed,26,,,0.064319
PDT,PMN,Directed,27,,,0.099575
PDT,PTC,Directed,28,,,0.094167
PDT,PPL,Directed,29,,,0.03959
PDT,AVANTE,Directed,30,,,0.094208
PDT,REDE,Directed,31,,,0.034802
PDT,PSC,Directed,32,,,0.167073
PDT,PSDB,Directed,33,,,0.363745
PDT,PSTU,Directed,34,,,0.002271
PV,PDT,Directed,35,,,0.150353
PV,PV,Directed,36,,,0.22202
PV,PATRI,Directed,37,,,0.067869
PV,PC DO B,Directed,38,,,0.085332
PV,PSOL,Directed,39,,,0.038269
PV,MDB,Directed,40,,,0.218553
PV,PCB,Directed,41,,,0.001404
PV,PHS,Directed,42,,,0.087685
PV,NOVO,Directed,43,,,0.009041
PV,PP,Directed,44,,,0.133798
PV,PTB,Directed,45,,,0.102217
PV,PSTU,Directed,46,,,0.001197
PV,PMN,Directed,47,,,0.048755
PV,PSB,Directed,48,,,0.171201
PV,PROS,Directed,49,,,0.069067
PV,PSD,Directed,50,,,0.212732
PV,PRB,Directed,51,,,0.11712
PV,PT,Directed,52,,,0.091112
PV,PMB,Directed,53,,,0.023655
PV,DEM,Directed,54,,,0.113322
PV,PCO,Directed,55,,,0.000578
PV,DC,Directed,56,,,0.052182
PV,SD,Directed,57,,,0.097304
PV,PODE,Directed,58,,,0.064691
PV,PR,Directed,59,,,0.123684
PV,PPS,Directed,60,,,0.099079
PV,PRTB,Directed,61,,,0.052512
PV,REDE,Directed,62,,,0.024357
PV,PTC,Directed,63,,,0.050407
PV,PRP,Directed,64,,,0.06209
PV,PPL,Directed,65,,,0.027825
PV,AVANTE,Directed,66,,,0.050448
PV,PSC,Directed,67,,,0.104405
PV,PSDB,Directed,68,,,0.216736
PV,PSL,Directed,69,,,0.0753
PATRI,PDT,Directed,70,,,0.017421
PATRI,PV,Directed,71,,,0.038765
PATRI,PATRI,Directed,72,,,0.032242
PATRI,AVANTE,Directed,73,,,0.008298
PATRI,PSOL,Directed,74,,,0.004417
PATRI,MDB,Directed,75,,,0.020105
PATRI,PCB,Directed,76,,,0.000083
PATRI,PHS,Directed,77,,,0.012385
PATRI,NOVO,Directed,78,,,0.001858
PATRI,PP,Directed,79,,,0.012591
PATRI,PRP,Directed,80,,,0.008752
PATRI,PSTU,Directed,81,,,0.000124
PATRI,PSB,Directed,82,,,0.01511
PATRI,PROS,Directed,83,,,0.010362
PATRI,PSD,Directed,84,,,0.023903
PATRI,PC DO B,Directed,85,,,0.007018
PATRI,PRB,Directed,86,,,0.011559
PATRI,PTB,Directed,87,,,0.010857
PATRI,PT,Directed,88,,,0.004252
PATRI,PMB,Directed,89,,,0.009165
PATRI,DEM,Directed,90,,,0.011848
PATRI,PCO,Directed,91,,,0.000083
PATRI,DC,Directed,92,,,0.010238
PATRI,SD,Directed,93,,,0.018825
PATRI,PODE,Directed,94,,,0.011972
PATRI,PPS,Directed,95,,,0.007101
PATRI,PRTB,Directed,96,,,0.006399
PATRI,PMN,Directed,97,,,0.006853
PATRI,PTC,Directed,98,,,0.009289
PATRI,PPL,Directed,99,,,0.006812
PATRI,PR,Directed,100,,,0.013169
PATRI,REDE,Directed,101,,,0.007761
PATRI,PSC,Directed,102,,,0.013954
PATRI,PSDB,Directed,103,,,0.017999
PATRI,PSL,Directed,104,,,0.019898
PC DO B,PDT,Directed,105,,,0.136028
PC DO B,PV,Directed,106,,,0.073319
PC DO B,PATRI,Directed,107,,,0.049044
PC DO B,AVANTE,Directed,108,,,0.038847
PC DO B,PSOL,Directed,109,,,0.048508
PC DO B,MDB,Directed,110,,,0.147092
PC DO B,PCB,Directed,111,,,0.004582
PC DO B,PHS,Directed,112,,,0.059654
PC DO B,NOVO,Directed,113,,,0.003468
PC DO B,PP,Directed,114,,,0.09363
PC DO B,PT,Directed,115,,,0.119308
PC DO B,PSTU,Directed,116,,,0.002105
PC DO B,PMN,Directed,117,,,0.038104
PC DO B,PSB,Directed,118,,,0.102877
PC DO B,PROS,Directed,119,,,0.044338
PC DO B,PSD,Directed,120,,,0.103249
PC DO B,PC DO B,Directed,121,,,0.216034
PC DO B,PRB,Directed,122,,,0.070016
PC DO B,PTB,Directed,123,,,0.080791
PC DO B,PMB,Directed,124,,,0.023779
PC DO B,DEM,Directed,125,,,0.063328
PC DO B,PCO,Directed,126,,,0.001445
PC DO B,DC,Directed,127,,,0.036164
PC DO B,SD,Directed,128,,,0.075631
PC DO B,PODE,Directed,129,,,0.049622
PC DO B,PPS,Directed,130,,,0.05276
PC DO B,PRTB,Directed,131,,,0.027123
PC DO B,REDE,Directed,132,,,0.015729
PC DO B,PTC,Directed,133,,,0.040168
PC DO B,PRP,Directed,134,,,0.033357
PC DO B,PPL,Directed,135,,,0.019197
PC DO B,PR,Directed,136,,,0.063782
PC DO B,PSC,Directed,137,,,0.053792
PC DO B,PSDB,Directed,138,,,0.100689
PC DO B,PSL,Directed,139,,,0.046815
PSOL,PDT,Directed,140,,,0.035669
PSOL,PV,Directed,141,,,0.020642
PSOL,PATRI,Directed,142,,,0.014284
PSOL,PC DO B,Directed,143,,,0.025348
PSOL,PSOL,Directed,144,,,0.210048
PSOL,MDB,Directed,145,,,0.039673
PSOL,PCB,Directed,146,,,0.002436
PSOL,PHS,Directed,147,,,0.016967
PSOL,NOVO,Directed,148,,,0.001982
PSOL,PROS,Directed,149,,,0.013458
PSOL,SD,Directed,150,,,0.022541
PSOL,PPS,Directed,151,,,0.021261
PSOL,PMN,Directed,152,,,0.010527
PSOL,PP,Directed,153,,,0.024605
PSOL,AVANTE,Directed,154,,,0.011766
PSOL,PSB,Directed,155,,,0.036783
PSOL,PSTU,Directed,156,,,0.004417
PSOL,PRB,Directed,157,,,0.026504
PSOL,PT,Directed,158,,,0.03088
PSOL,PMB,Directed,159,,,0.007266
PSOL,DEM,Directed,160,,,0.018082
PSOL,PCO,Directed,161,,,0.001238
PSOL,DC,Directed,162,,,0.010775
PSOL,PTB,Directed,163,,,0.016761
PSOL,PODE,Directed,164,,,0.012055
PSOL,PSD,Directed,165,,,0.035338
PSOL,PRTB,Directed,166,,,0.011518
PSOL,REDE,Directed,167,,,0.014697
PSOL,PTC,Directed,168,,,0.009619
PSOL,PRP,Directed,169,,,0.014078
PSOL,PPL,Directed,170,,,0.010362
PSOL,PR,Directed,171,,,0.02155
PSOL,PSC,Directed,172,,,0.022788
PSOL,PSDB,Directed,173,,,0.039095
PSOL,PSL,Directed,174,,,0.016637
MDB,PDT,Directed,175,,,0.594394
MDB,PV,Directed,176,,,0.310407
MDB,PATRI,Directed,177,,,0.145358
MDB,PC DO B,Directed,178,,,0.249185
MDB,PSOL,Directed,179,,,0.103497
MDB,MDB,Directed,180,,,1
MDB,PCB,Directed,181,,,0.003963
MDB,PHS,Directed,182,,,0.221979
MDB,NOVO,Directed,183,,,0.017504
MDB,PROS,Directed,184,,,0.149156
MDB,PP,Directed,185,,,0.518433
