Source,Target,Type,Id,Label,timeset,Weight
PDT,PDT,Directed,0,,,0.408163
PDT,PV,Directed,1,,,0.133438
PDT,PATRI,Directed,2,,,0.182104
PDT,PC DO B,Directed,3,,,0.186813
PDT,PSOL,Directed,4,,,0.452119
PDT,MDB,Directed,5,,,0.434851
PDT,PPS,Directed,6,,,0.131868
PDT,PHS,Directed,7,,,0.053375
PDT,NOVO,Directed,8,,,0.191523
PDT,PROS,Directed,9,,,0.122449
PDT,PP,Directed,10,,,0.44113
PDT,PTB,Directed,11,,,0.174254
PDT,PSL,Directed,12,,,0.069074
PDT,AVANTE,Directed,13,,,0.069074
PDT,PSB,Directed,14,,,0.397174
PDT,PRB,Directed,15,,,0.216641
PDT,PRP,Directed,16,,,0.031397
PDT,PT,Directed,17,,,0.205651
PDT,DC,Directed,18,,,0.028257
PDT,DEM,Directed,19,,,0.128728
PDT,PMB,Directed,20,,,0.069074
PDT,SD,Directed,21,,,0.577708
PDT,PODE,Directed,22,,,0.133438
PDT,PSD,Directed,23,,,0.216641
PDT,PRTB,Directed,24,,,0.039246
PDT,PMN,Directed,25,,,0.053375
PDT,PTC,Directed,26,,,0.042386
PDT,PPL,Directed,27,,,0.031397
PDT,PR,Directed,28,,,0.152276
PDT,REDE,Directed,29,,,0.196232
PDT,PSC,Directed,30,,,0.133438
PDT,PSDB,Directed,31,,,0.55416
PV,PDT,Directed,32,,,0.171115
PV,PV,Directed,33,,,0.045526
PV,PATRI,Directed,34,,,0.128728
PV,PC DO B,Directed,35,,,0.098901
PV,PSOL,Directed,36,,,0.133438
PV,MDB,Directed,37,,,0.167975
PV,PHS,Directed,38,,,0.032967
PV,NOVO,Directed,39,,,0.133438
PV,PP,Directed,40,,,0.142857
PV,PTB,Directed,41,,,0.058085
PV,PSTU,Directed,42,,,0.00314
PV,AVANTE,Directed,43,,,0.028257
PV,PMN,Directed,44,,,0.031397
PV,PSB,Directed,45,,,0.205651
PV,PROS,Directed,46,,,0.062794
PV,PSD,Directed,47,,,0.10989
PV,PRB,Directed,48,,,0.117739
PV,PRP,Directed,49,,,0.028257
PV,PMB,Directed,50,,,0.025118
PV,DEM,Directed,51,,,0.095761
PV,DC,Directed,52,,,0.021978
PV,SD,Directed,53,,,0.216641
PV,PODE,Directed,54,,,0.091052
PV,PR,Directed,55,,,0.067504
PV,PPS,Directed,56,,,0.086342
PV,PRTB,Directed,57,,,0.039246
PV,REDE,Directed,58,,,0.092622
PV,PTC,Directed,59,,,0.015699
PV,PPL,Directed,60,,,0.00471
PV,PT,Directed,61,,,0.051805
PV,PSC,Directed,62,,,0.036107
PV,PSDB,Directed,63,,,0.390895
PV,PSL,Directed,64,,,0.053375
PATRI,PDT,Directed,65,,,0.070644
PATRI,PV,Directed,66,,,0.582418
PATRI,PATRI,Directed,67,,,0.025118
PATRI,PC DO B,Directed,68,,,0.043956
PATRI,PSOL,Directed,69,,,0.056515
PATRI,MDB,Directed,70,,,0.062794
PATRI,PPS,Directed,71,,,0.018838
PATRI,PHS,Directed,72,,,0.015699
PATRI,NOVO,Directed,73,,,0.032967
PATRI,PP,Directed,74,,,0.029827
