Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PDT,PDT,,30,28,58,3.976678,4.646284,8.622962,2,0.885714,0.935484,4.238462,0,0.190831,0.185481,0.032838,0,1,0.917241,0.999644
PV,PV,,30,28,58,2.747156,2.382821,5.129977,2,0.885714,0.935484,4.238462,0,0.190831,0.185481,0.032838,0,1,0.917241,0.999644
PATRI,PATRI,,1,2,3,0.000095,0.00019,0.000284,3,0.508197,0.526882,0,0,0.006875,0.013663,0.005479,0,1,1,0.03517
PC DO B,PC DO B,,29,29,58,2.079731,1.510997,3.590728,2,0.911765,0.951613,2.460684,0,0.189222,0.187791,0.031056,0,1,0.917241,0.988184
PSOL,PSOL,,29,28,57,0.724213,0.504361,1.228574,2,0.885714,0.935484,0.238462,0,0.189304,0.185537,0.031024,0,1,0.964286,0.988184
MDB,MDB,,29,29,58,5.433352,7.69179,13.125142,2,0.911765,0.951613,2.460684,0,0.189222,0.187791,0.031056,0,1,0.917241,0.988184
PPS,PPS,,30,28,58,2.303565,3.209424,5.512988,2,0.885714,0.935484,4.238462,0,0.190831,0.185481,0.032838,0,1,0.917241,0.999644
PHS,PHS,,29,29,58,1.479712,0.998673,2.478385,2,0.911765,0.951613,2.460684,0,0.189222,0.187791,0.031056,0,1,0.917241,0.988184
PP,PP,,29,28,57,3.934585,4.935817,8.870402,2,0.885714,0.935484,0.238462,0,0.189304,0.185537,0.031024,0,1,0.964286,0.988184
SD,SD,,9,6,15,0.001043,0.001043,0.002086,3,0.534483,0.586022,0,0,0.061725,0.04181,0.012959,0,1,1,0.316184
PMN,PMN,,29,29,58,1.189609,1.09708,2.286689,2,0.911765,0.951613,5.088462,0,0.189259,0.186784,0.031056,0,1,0.964286,0.988184
PSL,PSL,,29,29,58,1.704968,1.324706,3.029674,2,0.911765,0.951613,2.460684,0,0.189222,0.187791,0.031056,0,1,0.917241,0.988184
AVANTE,AVANTE,,29,28,57,1.295317,0.89069,2.186007,2,0.885714,0.935484,0.238462,0,0.189304,0.185537,0.031024,0,1,0.964286,0.988184
PSB,PSB,,30,31,61,4.365093,3.626849,7.991942,2,0.96875,0.983871,59.12735,0,0.189956,0.188516,0.032379,0,1,0.763258,0.98854
PROS,PROS,,2,0,2,0.00019,0,0.00019,0,0,0,0,0,0.013742,0,0.00638,0,0,1,0.070275
PRB,PRB,,29,29,58,2.383011,1.749336,4.132347,2,0.911765,0.951613,2.460684,0,0.189222,0.187791,0.031056,0,1,0.917241,0.988184
PRP,PRP,,31,29,60,1.381494,1.098218,2.479712,2,0.911765,0.951613,19.421795,0,0.19154,0.186701,0.034135,0,1,0.86129,1
PT,PT,,31,30,61,4.376849,4.857414,9.234262,2,0.939394,0.967742,32.644017,0,0.190429,0.188992,0.034681,0,1,0.810484,0.990134
DC,DC,,28,28,56,1.293705,1.094331,2.388036,2,0.885714,0.935484,0.158462,0,0.183,0.185766,0.030026,0,1,0.964286,0.953349
DEM,DEM,,29,30,59,2.822905,6.000095,8.823,2,0.939394,0.967742,17.460684,0,0.189204,0.188292,0.031086,0,1,0.860215,0.988184
PCO,PCO,,5,25,30,0.000758,0.011661,0.012419,2,0.837838,0.903226,0,0,0.03416,0.172589,0.009432,0,1,0.998576,0.174607
PMB,PMB,,0,3,3,0,0.000284,0.000284,3,0.507937,0.536458,0,0,0,0.020648,0.004574,0,2,1,0
PTB,PTB,,31,28,59,3.227342,5.061907,8.289249,2,0.885714,0.935484,12.905128,0,0.191592,0.185453,0.0341,0,1,0.86129,1
PODE,PODE,,30,28,58,1.178802,0.843003,2.021805,2,0.885714,0.935484,8.905128,0,0.190065,0.185509,0.032285,0,1,0.903448,0.98854
PSD,PSD,,29,27,56,7.107888,0.36405,7.471938,2,0.861111,0.919355,0.2,1,0.189548,0.178862,0.030989,0,1,0.964286,0.988184
PRTB,PRTB,,29,28,57,1.113955,0.836557,1.950512,2,0.885714,0.935484,0.238462,1,0.189304,0.185537,0.031024,0,1,0.964286,0.988184
REDE,REDE,,0,3,3,0,0.000284,0.000284,3,0.516129,0.541667,0,0,0,0.020846,0.004574,0,3,1,0
PCB,PCB,,28,28,56,0.054323,0.099829,0.154152,2,0.885714,0.935484,0.2,0,0.182773,0.185775,0.030054,0,1,0.964286,0.953079
PTC,PTC,,29,29,58,1.264126,0.964827,2.228953,2,0.911765,0.951613,2.460684,1,0.189222,0.187791,0.031056,0,1,0.917241,0.988184
PPL,PPL,,28,26,54,0.516686,0.031854,0.54854,2,0.837838,0.903226,0.038462,1,0.183481,0.172633,0.030607,0,1,0.996032,0.981687
PR,PR,,30,29,59,2.996966,3.847364,6.844331,2,0.911765,0.951613,28.301795,1,0.184209,0.186968,0.034303,0,1,0.848387,0.983636
PSC,PSC,,30,28,58,2.643155,2.115188,4.758343,2,0.885714,0.935484,4.238462,1,0.190831,0.185481,0.032838,0,1,0.917241,0.999644
PSDB,PSDB,,29,28,57,4.747156,6.533466,11.280622,2,0.885714,0.935484,0.238462,1,0.189304,0.185537,0.031024,0,1,0.964286,0.988184
PSTU,PSTU,,27,29,56,0.023227,0.037258,0.060485,2,0.911765,0.951613,4.638462,0,0.176652,0.187244,0.029712,0,1,0.964286,0.946852
