Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
PDT,PDT,,32,34,66,2.630565,4.761462,7.392027,1,1,1,45.950105
PV,PV,,30,32,62,1.438538,2.083056,3.521595,2,0.942857,0.969697,1.861644
PATRI,PATRI,,31,24,55,2.689037,0.160797,2.849834,2,0.767442,0.848485,1.319929
PC DO B,PC DO B,,32,32,64,3.211296,1.845183,5.056478,2,0.942857,0.969697,4.616772
PSOL,PSOL,,30,32,62,3.751495,1.487708,5.239203,2,0.942857,0.969697,2.8747
MDB,MDB,,30,32,62,5.526246,6.482392,12.008638,2,0.942857,0.969697,1.861644
PCB,PCB,,22,27,49,0.083721,0.087043,0.170764,2,0.825,0.893939,1.245546
PHS,PHS,,31,32,63,1.241196,1.129568,2.370764,2,0.942857,0.969697,3.2719
PP,PP,,30,32,62,2.641196,4.184053,6.825249,2,0.942857,0.969697,3.018132
SD,SD,,31,15,46,5.284385,0.118272,5.402658,2,0.634615,0.712121,0.334041
PMN,PMN,,29,32,61,0.603987,1.120266,1.724252,2,0.942857,0.969697,2.553652
PROS,PROS,,31,24,55,5.633887,0.176744,5.810631,2,0.767442,0.848485,1.205608
AVANTE,AVANTE,,30,32,62,1.236545,0.946179,2.182724,2,0.942857,0.969697,1.861644
PSB,PSB,,31,33,64,3.058472,3.922924,6.981395,2,0.970588,0.984848,12.539849
PSTU,PSTU,,24,26,50,0.14485,0.121595,0.266445,2,0.804878,0.878788,0.37381
PSD,PSD,,31,31,62,3.419934,2.352824,5.772758,2,0.916667,0.954545,2.820275
PRB,PRB,,31,31,62,2.0299,1.936213,3.966113,2,0.916667,0.954545,2.803793
PRP,PRP,,29,31,60,1.045183,1.063787,2.10897,2,0.916667,0.954545,1.182311
PT,PT,,31,32,63,1.971429,4.934219,6.905648,2,0.942857,0.969697,4.217676
DC,DC,,29,30,59,0.849834,0.992027,1.84186,2,0.891892,0.939394,0.876469
DEM,DEM,,31,33,64,1.018605,4.197342,5.215947,2,0.970588,0.984848,12.539849
PCO,PCO,,26,14,40,0.059801,0.01794,0.077741,2,0.622642,0.69697,0.395749
PMB,PMB,,3,0,3,0.001993,0,0.001993,0,0,0,0
PTB,PTB,,29,32,61,2.511628,3.967442,6.47907,2,0.942857,0.969697,2.619036
PODE,PODE,,28,31,59,0.778073,0.872425,1.650498,2,0.916667,0.954545,1.067228
PPS,PPS,,29,32,61,1.251163,2.669767,3.92093,2,0.942857,0.969697,1.464444
PRTB,PRTB,,29,29,58,0.838538,0.853156,1.691694,2,0.868421,0.924242,1.499794
REDE,REDE,,1,0,1,0.000664,0,0.000664,0,0,0,0
PTC,PTC,,30,31,61,1.275083,1.12093,2.396013,2,0.916667,0.954545,2.467197
PPL,PPL,,31,30,61,0.988704,0.381395,1.3701,2,0.891892,0.939394,3.459898
PR,PR,,30,32,62,2.084385,3.093688,5.178073,2,0.942857,0.969697,4.151779
PSC,PSC,,31,32,63,1.987375,2.230565,4.21794,2,0.942857,0.969697,3.206516
PSDB,PSDB,,32,32,64,3.663123,5.489037,9.152159,2,0.942857,0.969697,4.616772
PSL,PSL,,28,31,59,1.024585,1.175415,2.2,2,0.916667,0.954545,0.72224
