Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PDT,PDT,,31,31,62,2.120598,3.493063,5.613661,2,0.916667,0.954545,5.073188,0.190245,0.189067,0,0.031319,0,2,0.922581,0.998482
PV,PV,,30,30,60,0.908218,1.597652,2.50587,2,0.891892,0.939394,1.98524,0.185964,0.1872,0,0.03035,0,2,0.922581,0.974349
PATRI,PATRI,,30,24,54,1.663821,0.311633,1.975454,2,0.767442,0.848485,0.924321,0.18561,0.152808,0,0.030073,0,2,0.922581,0.96395
PC DO B,PC DO B,,31,31,62,1.3127,1.354322,2.667022,2,0.916667,0.954545,12.791442,0.190292,0.187753,0,0.031319,0,2,0.867944,0.998482
PSOL,PSOL,,30,29,59,1.070438,0.520811,1.591249,2,0.868421,0.924242,4.060168,0.185199,0.178226,0,0.03021,0,2,0.922581,0.965227
MDB,MDB,,31,31,62,5.290288,5.497332,10.78762,2,0.916667,0.954545,32.624776,0.190309,0.187282,0,0.031319,0,2,0.86996,0.998482
PCB,PCB,,9,19,28,0.014941,0.05016,0.065101,2,0.702128,0.787879,0.196356,0.056796,0.127532,0,0.012853,0,2,0.969697,0.295283
PHS,PHS,,32,31,63,2.157951,0.702241,2.860192,2,0.916667,0.954545,20.874776,0.191256,0.187718,0,0.032494,0,2,0.820076,1
PP,PP,,29,31,60,2.322305,3.3746,5.696905,2,0.916667,0.954545,3.799965,0.181353,0.189383,0,0.029809,0,2,0.922581,0.96393
SD,SD,,31,25,56,5.628602,0.462113,6.090715,2,0.785714,0.863636,1.209015,0.191335,0.15841,2,0.031115,0,2,0.922581,0.998482
PMN,PMN,,30,29,59,0.609392,0.681964,1.291355,2,0.868421,0.924242,1.914414,0.184832,0.182516,0,0.03045,0,2,0.922581,0.972049
PROS,PROS,,32,27,59,3.75667,0.3127,4.06937,2,0.825,0.893939,10.564435,0.192004,0.166662,2,0.032364,0,2,0.86996,1
AVANTE,AVANTE,,26,29,55,0.49413,0.61793,1.11206,2,0.868421,0.924242,0.439987,0.163877,0.183261,0,0.02682,0,2,0.975369,0.862845
PSB,PSB,,31,31,62,2.997866,2.717182,5.715048,2,0.916667,0.954545,5.073188,0.190245,0.189067,2,0.031319,0,2,0.922581,0.998482
PSTU,PSTU,,21,20,41,0.059765,0.064034,0.123799,2,0.702128,0.787879,1.555556,0.132893,0.122305,0,0.022268,0,2,0.936508,0.697654
PSD,PSD,,31,30,61,2.792956,1.742796,4.535752,2,0.891892,0.939394,2.624776,0.190317,0.187045,2,0.03129,0,2,0.922581,0.998482
PRB,PRB,,31,30,61,1.67556,1.372465,3.048026,2,0.891892,0.939394,9.068573,0.186927,0.187166,2,0.031524,0,2,0.86996,0.975867
PRP,PRP,,28,29,57,0.567769,0.765208,1.332978,2,0.868421,0.924242,1.124289,0.174853,0.182871,2,0.028833,0,2,0.954023,0.928376
PT,PT,,31,31,62,2.103522,4.013874,6.117396,2,0.916667,0.954545,5.073188,0.190245,0.189067,0,0.031319,0,2,0.922581,0.998482
DC,DC,,29,30,59,0.438634,0.772679,1.211313,2,0.891892,0.939394,3.333298,0.181521,0.184653,0,0.029782,0,2,0.941379,0.96393
DEM,DEM,,30,31,61,0.863394,3.170758,4.034152,2,0.916667,0.954545,4.433653,0.185892,0.189222,0,0.030377,0,2,0.922581,0.974349
PCO,PCO,,1,4,5,0.001067,0.007471,0.008538,3,0.52381,0.555556,0,0.006658,0.02707,2,0.00564,0,2,1,0.034433
PMB,PMB,,3,0,3,0.003202,0,0.003202,0,0,0,0,0.01987,0,0,0.00733,0,0,1,0.098959
PTB,PTB,,28,30,58,1.265742,3.468517,4.734258,2,0.891892,0.939394,1.119185,0.175786,0.187562,0,0.028732,0,2,0.954023,0.929497
PODE,PODE,,30,29,59,0.522946,0.549626,1.072572,2,0.868421,0.924242,1.909869,0.184847,0.182516,1,0.030211,0,2,0.922581,0.964048
PPS,PPS,,29,30,59,0.693703,1.942369,2.636073,2,0.891892,0.939394,1.763266,0.180124,0.187408,2,0.029912,0,2,0.954023,0.96163
PRTB,PRTB,,29,29,58,0.688367,0.651014,1.339381,2,0.868421,0.924242,1.065405,0.181609,0.182161,2,0.029753,0,2,0.954023,0.96393
REDE,REDE,,2,0,2,0.002134,0,0.002134,0,0,0,0,0.013333,0,2,0.006517,0,1,1,0.068867
PTC,PTC,,29,30,59,0.299893,0.635005,0.934899,2,0.891892,0.939394,1.351552,0.181424,0.187362,1,0.029782,0,2,0.954023,0.96393
PPL,PPL,,23,25,48,0.072572,0.153682,0.226254,2,0.785714,0.863636,0,0.146116,0.158842,1,0.024035,0,2,0.978836,0.765208
PR,PR,,31,31,62,1.329776,2.156884,3.48666,2,0.916667,0.954545,17.624776,0.1903,0.18752,2,0.031319,0,2,0.866935,0.998482
PSC,PSC,,32,30,62,1.409819,1.578442,2.98826,2,0.891892,0.939394,9.708109,0.191281,0.187011,2,0.032465,0,2,0.86996,1
PSDB,PSDB,,31,31,62,4.33191,4.327641,8.659552,2,0.916667,0.954545,17.624776,0.1903,0.18752,2,0.031319,0,2,0.866935,0.998482
PSL,PSL,,26,30,56,0.445037,0.84952,1.294557,2,0.891892,0.939394,8.088462,0.164852,0.183463,2,0.026871,0,2,0.904598,0.86981
