Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PDT,PDT,,35,35,70,4.809809,5.779259,10.589068,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
PV,PV,,35,35,70,3.080626,3.066301,6.146926,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
PATRI,PATRI,,35,35,70,1.546671,0.411468,1.958139,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
PC DO B,PC DO B,,35,35,70,2.480865,2.134376,4.615242,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
PSOL,PSOL,,35,35,70,1.36969,0.831648,2.201338,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
MDB,MDB,,35,35,70,6.896916,9.21975,16.116666,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
PCB,PCB,,33,35,68,0.049086,0.105189,0.154275,1,1,1,0.096841,0.160175,0.170079,0,0.026552,0,0,0.994958,0.942577
PHS,PHS,,35,35,70,2.187177,1.539818,3.726995,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
NOVO,NOVO,,35,33,68,0.16794,0.024068,0.192008,2,0.944444,0.970588,0.03125,0.170079,0.160459,1,0.02796,0,0,0.994958,1
PP,PP,,35,35,70,4.457169,5.910003,10.367172,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
SD,SD,,35,34,69,3.009,0.671469,3.680469,2,0.971429,0.985294,0.130175,0.169943,0.165056,1,0.027982,0,0,0.994958,1
PMN,PMN,,35,35,70,1.345581,1.425216,2.770796,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
PROS,PROS,,35,34,69,2.00095,0.633695,2.634645,2,0.971429,0.985294,0.094758,0.169939,0.165197,1,0.027982,0,0,0.994958,1
AVANTE,AVANTE,,35,35,70,1.503736,1.268588,2.772324,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
PSB,PSB,,35,35,70,5.260909,4.804236,10.065145,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
PSTU,PSTU,,32,35,67,0.053709,0.065599,0.119308,1,1,1,0.03125,0.155429,0.170219,0,0.025816,0,0,0.994958,0.913866
PSD,PSD,,35,35,70,7.195434,2.418776,9.61421,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
PRB,PRB,,35,35,70,3.429261,2.547083,5.976345,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
PRP,PRP,,35,35,70,1.689675,1.530281,3.219956,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
PT,PT,,35,35,70,3.918548,6.469636,10.388185,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
DC,DC,,35,35,70,1.411923,1.371176,2.783099,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
DEM,DEM,,35,35,70,3.239566,6.423069,9.662635,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
PCO,PCO,,34,35,69,0.020848,0.017876,0.038724,1,1,1,0.129099,0.165061,0.169934,0,0.027267,0,0,0.994958,0.971289
PMB,PMB,,35,33,68,0.667465,0.085869,0.753334,2,0.944444,0.970588,0.063508,0.170083,0.160314,1,0.02796,0,0,0.994958,1
PTB,PTB,,35,35,70,3.569376,5.939685,9.509062,1,1,1,0.193683,0.169803,0.169794,0,0.028002,0,0,0.994958,1
PODE,PODE,,35,35,70,1.811171,1.267721,3.078892,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
PPS,PPS,,35,35,70,2.647649,3.695702,6.343351,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
PRTB,PRTB,,35,35,70,1.331503,1.131198,2.462701,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
REDE,REDE,,35,35,70,0.479875,0.05986,0.539735,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
PTC,PTC,,35,35,70,1.539363,1.326632,2.865995,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
PPL,PPL,,35,35,70,0.741816,0.274037,1.015853,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
PR,PR,,35,35,70,3.741692,4.507493,8.249185,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
PSC,PSC,,35,35,70,3.119267,2.831524,5.950791,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
PSDB,PSDB,,35,35,70,6.426537,7.777402,14.203938,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
PSL,PSL,,35,35,70,2.168063,1.803162,3.971226,1,1,1,0.193683,0.169803,0.169794,1,0.028002,0,0,0.994958,1
