Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PDT,PDT,,27,27,54,2.228426,2.604061,4.832487,2,0.933333,0.964286,22.755055,0.199977,0.197691,0,0.042499,0,0,0.815271,0.994953
PV,PV,,27,26,53,1.60116,0.992023,2.593183,2,0.903226,0.946429,4.271685,0.202246,0.196341,1,0.033322,0,0,0.854497,0.973683
PC DO B,PC DO B,,26,28,54,1.368383,0.849891,2.218274,2,0.965517,0.982143,3.73674,0.198931,0.206737,1,0.032611,0,0,0.859788,0.968635
PSOL,PSOL,,27,26,53,0.720087,0.378535,1.098622,2,0.903226,0.946429,4.382082,0.202274,0.195666,1,0.033322,0,0,0.893162,0.973683
MDB,MDB,,27,28,55,3.992748,4.172589,8.165337,2,0.965517,0.982143,6.089518,0.201825,0.206618,0,0.033398,0,0,0.815271,0.973683
PPS,PPS,,25,27,52,0.879623,1.467005,2.346628,2,0.933333,0.964286,2.705055,0.192466,0.201878,1,0.03173,0,0,0.859788,0.945657
PHS,PHS,,25,27,52,0.422045,0.35533,0.777375,2,0.933333,0.964286,2.064878,0.194443,0.201784,0,0.031386,0,0,0.903134,0.944442
PP,PP,,25,28,53,1.769398,2.343002,4.1124,2,0.965517,0.982143,2.748212,0.194232,0.206929,0,0.031421,0,0,0.859788,0.944442
PMN,PMN,,25,26,51,0.322698,0.450326,0.773024,2,0.903226,0.946429,1.560256,0.194671,0.196213,0,0.031349,0,0,0.89886,0.944442
PSL,PSL,,24,27,51,0.401015,0.479333,0.880348,2,0.933333,0.964286,1.611765,0.187759,0.202294,1,0.030541,0,0,0.877493,0.921464
AVANTE,AVANTE,,25,26,51,0.390863,0.345178,0.736041,2,0.903226,0.946429,1.581685,0.194681,0.195977,0,0.031349,0,0,0.946154,0.944442
PSB,PSB,,27,28,55,2.00145,1.854967,3.856418,2,0.965517,0.982143,30.73674,0.199266,0.206723,1,0.050659,0,0,0.859788,0.991916
PRB,PRB,,26,27,53,1.335025,1.033358,2.368383,2,0.933333,0.964286,4.853071,0.195351,0.201983,1,0.032517,0,0,0.829365,0.950705
PRP,PRP,,24,24,48,0.315446,0.464104,0.77955,2,0.848485,0.910714,0,0.188418,0.18621,0,0.030423,0,0,1,0.921464
PT,PT,,26,29,55,4.137056,3.020305,7.15736,1,1,1,11.73674,0.198889,0.20776,1,0.032645,0,0,0.815271,0.968635
DC,DC,,26,24,50,0.443075,0.420595,0.863669,2,0.848485,0.910714,0.914286,0.199791,0.185744,1,0.032449,0,0,0.946154,0.968635
DEM,DEM,,26,28,54,1.252357,2.664249,3.916606,2,0.965517,0.982143,5.100989,0.197127,0.206811,0,0.032208,0,0,0.815271,0.949489
PCO,PCO,,3,9,12,0.002175,0.007977,0.010152,2,0.595745,0.660714,0.133333,0.024921,0.070514,1,0.00855,0,0,0.954545,0.117552
PTB,PTB,,27,28,55,1.467005,2.558376,4.025381,2,0.965517,0.982143,13.284756,0.201984,0.202732,0,0.033398,0,0,0.815271,0.973683
PODE,PODE,,25,25,50,0.419144,0.37781,0.796954,2,0.875,0.928571,0.683193,0.194855,0.191743,1,0.031308,0,0,0.930769,0.944442
PSD,PSD,,15,1,16,0.019579,0.000725,0.020305,3,0.5,0.511905,0,0.125356,0.008165,0,0.021619,0,0,1,0.578798
PRTB,PRTB,,25,24,49,0.260334,0.292966,0.553299,2,0.848485,0.910714,0.2,0.195092,0.185936,1,0.031265,0,0,0.976667,0.944442
PCB,PCB,,16,21,37,0.023205,0.050761,0.073967,2,0.777778,0.857143,1.444444,0.119594,0.162625,1,0.021232,0,0,0.918972,0.568895
PTC,PTC,,26,24,50,0.414068,0.322698,0.736766,2,0.848485,0.910714,2.019444,0.197987,0.185817,1,0.032048,0,0,0.92,0.949489
PPL,PPL,,17,2,19,0.025381,0.00145,0.026831,2,0.518519,0.535714,0,0.141486,0.016492,1,0.023774,0,0,1,0.655566
PR,PR,,26,28,54,1.554025,1.660624,3.214648,2,0.965517,0.982143,3.73674,0.198931,0.206737,1,0.032611,0,0,0.859788,0.968635
PSC,PSC,,26,27,53,1.513416,0.850616,2.364032,2,0.933333,0.964286,3.059817,0.199141,0.201605,1,0.032575,0,0,0.859788,0.968635
PSDB,PSDB,,28,28,56,3.939811,3.198695,7.138506,2,0.965517,0.982143,19.589518,0.202502,0.20659,1,0.043334,0,0,0.815271,1
PSTU,PSTU,,16,15,31,0.02393,0.025381,0.049311,2,0.666667,0.75,0,0.125039,0.114468,1,0.021346,0,0,0.97381,0.601168
