Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PDT,PDT,,35,32,67,5.860283,6.257457,12.117739,2,0.942857,0.969697,3.787582,2,0.181566,0.174626,0.029247,0,0,0.878992,1
PV,PV,,34,33,67,2.086342,2.989011,5.075353,2,0.970588,0.984848,3.943137,0,0.179663,0.176491,0.028913,0,0,0.923351,0.999687
PATRI,PATRI,,34,32,66,2.846154,1.565149,4.411303,2,0.942857,0.969697,1.565359,0,0.17972,0.174685,0.02889,0,0,0.923351,0.999687
PC DO B,PC DO B,,35,34,69,2.536892,2.33595,4.872841,1,1,1,22.365359,2,0.181497,0.176794,0.029292,0,0,0.878992,1
PSOL,PSOL,,35,33,68,6.902669,1.290424,8.193093,2,0.970588,0.984848,6.365359,2,0.181508,0.176432,0.02927,0,0,0.878992,1
MDB,MDB,,34,33,67,5.574568,9.580848,15.155416,2,0.970588,0.984848,3.943137,2,0.179663,0.176491,0.028913,0,0,0.923351,0.999687
PCB,PCB,,2,20,22,0.00314,0.098901,0.102041,2,0.717391,0.80303,0,2,0.011301,0.11438,0.005775,0,0,0.994737,0.062549
PHS,PHS,,33,32,65,0.827316,2.031397,2.858713,2,0.942857,0.969697,0.863605,2,0.17623,0.174797,0.028389,0,0,0.953598,0.98946
NOVO,NOVO,,34,28,62,2.593407,0.268446,2.861852,2,0.846154,0.909091,1.037094,1,0.18041,0.153112,0.028782,0,0,0.923351,0.999687
PP,PP,,33,33,66,5.33595,5.772371,11.10832,2,0.970588,0.984848,3.163312,2,0.176003,0.176608,0.028667,0,0,0.960227,0.99744
SD,SD,,35,32,67,8.489796,1.872841,10.362637,2,0.942857,0.969697,3.787582,1,0.181566,0.174626,0.029247,0,0,0.878992,1
PMN,PMN,,33,32,65,0.715856,1.345369,2.061224,2,0.942857,0.969697,0.952201,2,0.176061,0.174802,0.028644,0,0,0.960227,0.99744
PROS,PROS,,34,32,66,2.073783,1.33281,3.406593,2,0.942857,0.969697,1.565359,1,0.17972,0.174685,0.02889,0,0,0.923351,0.999687
AVANTE,AVANTE,,32,32,64,0.896389,1.397174,2.293564,2,0.942857,0.969697,0.830272,2,0.170812,0.17497,0.027616,0,0,0.953598,0.958578
PSB,PSB,,35,32,67,7.133438,5.100471,12.233909,2,0.942857,0.969697,3.787582,1,0.181566,0.174626,0.029247,0,0,0.878992,1
PSTU,PSTU,,11,20,31,0.028257,0.257457,0.285714,2,0.702128,0.787879,0,2,0.056452,0.109101,0.011788,0,0,0.968379,0.320305
