Source,Target,Type,Id,Label,timeset,Weight
PP,PRB,Directed,0,,,0.086957
PP,PSDB,Directed,1,,,0.043478
PP,PROS,Directed,2,,,0.130435
PP,DEM,Directed,3,,,0.043478
PP,PSC,Directed,4,,,0.086957
PP,PSD,Directed,5,,,0.173913
PP,PR,Directed,6,,,0.086957
PP,AVANTE,Directed,7,,,0.043478
PP,SD,Directed,8,,,0.043478
PP,PSB,Directed,9,,,0.043478
PP,PMN,Directed,10,,,0.043478
PT,MDB,Directed,11,,,0.043478
PT,PT,Directed,12,,,0.043478
PT,PROS,Directed,13,,,0.043478
PT,REDE,Directed,14,,,0.043478
PT,PTB,Directed,15,,,0.043478
PT,PSD,Directed,16,,,0.043478
PT,AVANTE,Directed,17,,,0.043478
PT,PDT,Directed,18,,,0.086957
PT,PC DO B,Directed,19,,,0.130435
PT,SD,Directed,20,,,0.043478
PT,PMB,Directed,21,,,0.130435
PT,PTC,Directed,22,,,0.043478
PROS,PODE,Directed,23,,,0.086957
PROS,PMB,Directed,24,,,0.086957
PROS,REDE,Directed,25,,,0.043478
PROS,PP,Directed,26,,,0.086957
PROS,PDT,Directed,27,,,0.130435
PROS,DEM,Directed,28,,,0.043478
PROS,PHS,Directed,29,,,0.086957
PROS,PSB,Directed,30,,,0.173913
REDE,PPS,Directed,31,,,0.043478
REDE,PSB,Directed,32,,,0.086957
PTB,MDB,Directed,33,,,0.086957
PTB,PP,Directed,34,,,0.043478
PTB,PSC,Directed,35,,,0.043478
PTB,PTB,Directed,36,,,0.130435
PTB,PODE,Directed,37,,,0.086957
PTB,PSD,Directed,38,,,0.173913
PTB,AVANTE,Directed,39,,,0.043478
PTB,PRB,Directed,40,,,0.043478
PTB,PSDB,Directed,41,,,0.043478
PTB,PATRI,Directed,42,,,0.043478
PTB,PR,Directed,43,,,0.173913
PTB,PTC,Directed,44,,,0.043478
PTB,PROS,Directed,45,,,0.043478
PTB,PSL,Directed,46,,,0.043478
PRP,PODE,Directed,47,,,0.043478
PRP,DEM,Directed,48,,,0.043478
PRP,PMB,Directed,49,,,0.130435
PSD,MDB,Directed,50,,,0.304348
PSD,PP,Directed,51,,,0.26087
PSD,PROS,Directed,52,,,0.130435
PSD,PSD,Directed,53,,,0.043478
PSD,PSC,Directed,54,,,0.043478
PSD,PODE,Directed,55,,,0.043478
PSD,DEM,Directed,56,,,0.130435
PSD,PSDB,Directed,57,,,0.043478
PSD,PRTB,Directed,58,,,0.043478
