Source,Target,Type,Id,Label,timeset,Weight
PRB,PRB,Directed,0,,,0.05
PRB,MDB,Directed,1,,,0.05
PMN,PSD,Directed,2,,,0.3
PMN,PR,Directed,3,,,0.05
PODE,PTC,Directed,4,,,0.05
PSC,PSD,Directed,5,,,0.2
PSC,PP,Directed,6,,,0.05
PSDB,PSD,Directed,7,,,0.05
PSDB,PSB,Directed,8,,,0.1
PTC,MDB,Directed,9,,,0.05
PTB,PSD,Directed,10,,,0.1
PTB,PRB,Directed,11,,,0.05
PTB,PR,Directed,12,,,0.05
PTB,PSDB,Directed,13,,,0.05
AVANTE,PRB,Directed,14,,,0.05
PC DO B,PSD,Directed,15,,,0.05
DEM,PSD,Directed,16,,,1
DEM,PRB,Directed,17,,,0.05
DEM,DEM,Directed,18,,,0.05
DEM,PDT,Directed,19,,,0.05
PT,PSD,Directed,20,,,0.05
PT,PTB,Directed,21,,,0.05
PT,PT,Directed,22,,,0.05
PPS,PSD,Directed,23,,,0.15
PV,PSD,Directed,24,,,0.2
PV,PSDB,Directed,25,,,0.05
MDB,PSD,Directed,26,,,0.25
MDB,PPS,Directed,27,,,0.05
PHS,PSD,Directed,28,,,0.05
PHS,MDB,Directed,29,,,0.05
PHS,PHS,Directed,30,,,0.05
PR,PSD,Directed,31,,,0.15
PR,PSDB,Directed,32,,,0.05
PR,PRP,Directed,33,,,0.05
PR,MDB,Directed,34,,,0.1
PR,PDT,Directed,35,,,0.05
PSB,PSD,Directed,36,,,0.05
PSB,PSB,Directed,37,,,0.1
PSB,MDB,Directed,38,,,0.05
PRTB,PR,Directed,39,,,0.05
PDT,PSD,Directed,40,,,0.25
PDT,PODE,Directed,41,,,0.1
PDT,PHS,Directed,42,,,0.05
PP,PSD,Directed,43,,,0.15
PP,PRB,Directed,44,,,0.05
PP,PSB,Directed,45,,,0.05
