Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PRB,PRB,,4,0,4,1.666667,0,1.666667,0,0,0,0,5,0.039916,0,0,0.5,0.610396
PMN,PMN,,2,2,4,0.666667,0.666667,1.333333,4,0.414634,0.480392,3.916667,9,0.022921,0,2,0.166667,0.26218
PODE,PODE,,1,2,3,0.333333,0.666667,1,3,0.447368,0.5,14.625,8,0.025581,0,2,0.333333,0.204842
PSOL,PSOL,,0,0,0,0,0,0,0,0,0,0,0,0.00943,1,3,0,0
PRP,PRP,,1,0,1,0.333333,0,0.333333,0,0,0,0,8,0.025581,0,1,0,0.204842
PCB,PCB,,0,0,0,0,0,0,0,0,0,0,1,0.00943,2,4,0,0
PSC,PSC,,4,1,5,2.333333,0.333333,2.666667,4,0.34,0.392157,1.166667,5,0.040583,0,2,0.4,0.564904
PSD,PSD,,0,0,0,0,0,0,0,0,0,0,2,0.00943,3,5,0,0
PSDB,PSDB,,5,8,13,2.333333,5,7.333334,3,0.62963,0.72549,62.766667,8,0.057505,0,2,0.209091,0.705213
PTC,PTC,,0,0,0,0,0,0,0,0,0,0,3,0.00943,4,6,0,0
PTB,PTB,,3,5,8,1,1.666667,2.666667,4,0.485714,0.593137,27.166667,9,0.041142,0,2,0.1,0.337771
AVANTE,AVANTE,,0,1,1,0,0.333333,0.333333,4,0.339623,0.388889,0,8,0.00943,0,7,0,0
PC DO B,PC DO B,,1,1,2,0.333333,0.333333,0.666667,3,0.409091,0.444444,2.658333,5,0.012123,0,8,0,0.002474
DEM,DEM,,5,5,10,2,2.333333,4.333333,3,0.5,0.598039,40.133333,9,0.0501,0,2,0.236111,0.551081
PT,PT,,1,2,3,0.333333,0.666667,1,4,0.386364,0.455882,0.666667,8,0.013558,0,2,0.166667,0.168369
PCO,PCO,,0,0,0,0,0,0,0,0,0,0,4,0.00943,5,9,0,0
PPS,PPS,,3,6,9,1,2,3,3,0.548387,0.627451,13.875,5,0.022312,0,2,0.357143,0.412887
PV,PV,,5,2,7,2,0.666667,2.666667,4,0.34,0.387255,6.083333,8,0.037531,0,2,0.3,0.596907
MDB,MDB,,5,9,14,2.333333,4.666667,7,2,0.653846,0.735294,50.858333,5,0.042592,0,2,0.266667,0.672348
PSTU,PSTU,,0,0,0,0,0,0,0,0,0,0,6,0.00943,6,10,0,0
PSL,PSL,,0,0,0,0,0,0,0,0,0,0,7,0.00943,7,11,0,0
DC,DC,,1,2,3,0.333333,0.666667,1,4,0.361702,0.436275,0.866667,8,0.015707,0,2,0.333333,0.174892
PHS,PHS,,2,2,4,0.666667,0.666667,1.333333,4,0.404762,0.465686,2.666667,9,0.019871,0,2,0.166667,0.191803
PR,PR,,9,5,14,4.666667,2.333333,7,3,0.485714,0.588235,98.358333,8,0.092657,0,2,0.108974,0.797478
PSB,PSB,,6,2,8,2.333333,1,3.333333,4,0.395349,0.436275,7.291667,9,0.051886,0,2,0.433333,1
PRTB,PRTB,,0,3,3,0,1.333333,1.333333,4,0.431818,0.508772,0,8,0.00943,0,12,0,0
PDT,PDT,,6,4,10,4,2,6,3,0.5,0.578431,53.3,9,0.060292,0,2,0.291667,0.872063
PP,PP,,4,6,10,1.666667,3,4.666667,3,0.548387,0.647059,35.6,9,0.047473,0,2,0.222222,0.516383
