Id,Label,timeset,weighted indegree,weighted outdegree,weighted degree,pageranks,indegree,outdegree,degree,Authority,Hub,modularity_class,componentnumber,strongcompnum,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality
PPL,PPL,,0,0,0,0.027547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRB,PRB,,1,1,2,0.027547,1,1,2,0,0,1,1,1,0,0,0,0,0,1
PMN,PMN,,0,0,0,0.027547,0,0,0,0,0,2,2,2,0,0,0,0,0,0
PODE,PODE,,0,0,0,0.027547,0,0,0,0,0,3,3,3,0,0,0,0,0,0
PSOL,PSOL,,0,0,0,0.027547,0,0,0,0,0,4,4,4,0,0,0,0,0,0
PCB,PCB,,0,0,0,0.027547,0,0,0,0,0,5,5,5,0,0,0,0,0,0
PRP,PRP,,0,0,0,0.027547,0,0,0,0,0,6,6,6,0,0,0,0,0,0
PATRI,PATRI,,0,0,0,0.027547,0,0,0,0,0,7,7,7,0,0,0,0,0,0
PSC,PSC,,0,0,0,0.027547,0,0,0,0,0,8,8,8,0,0,0,0,0,0
PSD,PSD,,0,0,0,0.027547,0,0,0,0,0,9,9,9,0,0,0,0,0,0
PSDB,PSDB,,0,0,0,0.027547,0,0,0,0,0,10,10,10,0,0,0,0,0,0
PTC,PTC,,0,0,0,0.027547,0,0,0,0,0,11,11,11,0,0,0,0,0,0
PT,PT,,0,0,0,0.027547,0,0,0,0,0,12,12,12,0,0,0,0,0,0
PTB,PTB,,0,0,0,0.027547,0,0,0,0,0,13,13,13,0,0,0,0,0,0
AVANTE,AVANTE,,0,0,0,0.027547,0,0,0,0,0,14,14,14,0,0,0,0,0,0
MDB,MDB,,0,0,0,0.027547,0,0,0,0,0,15,15,15,0,0,0,0,0,0
DEM,DEM,,0,0,0,0.027547,0,0,0,0,0,16,16,16,0,0,0,0,0,0
DC,DC,,0,0,0,0.027547,0,0,0,0,0,17,17,17,0,0,0,0,0,0
PCO,PCO,,0,0,0,0.027547,0,0,0,0,0,18,18,18,0,0,0,0,0,0
PPS,PPS,,1,1,2,0.027547,1,1,2,0,0,19,19,19,0,0,0,0,0,1
PV,PV,,0,0,0,0.027547,0,0,0,0,0,20,20,20,0,0,0,0,0,0
PSTU,PSTU,,0,0,0,0.027547,0,0,0,0,0,21,21,21,0,0,0,0,0,0
PSL,PSL,,0,0,0,0.027547,0,0,0,0,0,22,22,22,0,0,0,0,0,0
PROS,PROS,,0,0,0,0.027547,0,0,0,0,0,23,23,23,0,0,0,0,0,0
PHS,PHS,,0,0,0,0.027547,0,0,0,0,0,24,24,24,0,0,0,0,0,0
PR,PR,,1,0,1,0.051993,1,0,1,1,0,25,25,25,0,0,0,0,0,0.01
SD,SD,,0,1,1,0.027547,0,1,1,0,1,25,25,26,1,1,1,0,0,0
PSB,PSB,,0,0,0,0.027547,0,0,0,0,0,26,26,27,0,0,0,0,0,0
PRTB,PRTB,,0,0,0,0.027547,0,0,0,0,0,27,27,28,0,0,0,0,0,0
PDT,PDT,,0,0,0,0.027547,0,0,0,0,0,28,28,29,0,0,0,0,0,0
PP,PP,,0,0,0,0.027547,0,0,0,0,0,29,29,30,0,0,0,0,0,0
0,PC DO B,,0,0,0,0.027547,0,0,0,0,0,30,30,31,0,0,0,0,0,0
