Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PPL,PPL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00861,0,0,0,0
PRB,PRB,,4,2,6,1.25,0.75,2,4,0.391304,0.458333,14.45,0.219473,0.102581,5,0.047763,1,4,0.466667,0.670136
PC DO B,PC DO B,,1,1,2,0.25,0.25,0.5,5,0.296875,0.351754,1.342857,0.007198,0.042744,3,0.012269,1,5,0,0.002766
PMN,PMN,,0,1,1,0,0.25,0.25,6,0.260274,0.305263,0,0,0.05787,8,0.00861,1,6,0,0
PODE,PODE,,7,1,8,2.5,0.5,3,5,0.333333,0.381481,36.759524,0.32953,0.078833,8,0.04114,1,4,0.178571,0.369501
PSOL,PSOL,,1,0,1,0.25,0,0.25,0,0,0,0,0.030146,0,3,0.012678,1,3,0,0.066583
PCB,PCB,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00861,2,7,0,0
PRP,PRP,,0,1,1,0,0.25,0.25,6,0.260274,0.305263,0,0,0.05787,8,0.00861,1,8,0,0
PATRI,PATRI,,3,1,4,0.75,0.25,1,5,0.295082,0.346296,0.7,0.146885,0.062859,5,0.029254,1,4,0.166667,0.29742
PSC,PSC,,2,3,5,0.5,1.5,2,4,0.461538,0.532407,42.833333,0.086837,0.097598,5,0.046094,1,4,0.166667,0.402056
PSD,PSD,,7,8,15,2.75,2.5,5.25,3,0.580645,0.694444,71.154762,0.314539,0.350339,8,0.046825,1,4,0.212121,0.468432
NOVO,NOVO,,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00861,3,9,0,0
PTC,PTC,,1,1,2,0.25,0.25,0.5,1,1,1,1,0.052554,0.008346,5,0.009524,1,10,0,0.007693
PT,PT,,0,2,2,0,0.5,0.5,5,0.344828,0.42,0,0,0.040986,3,0.00861,1,11,0,0
PTB,PTB,,1,8,9,0.25,2,2.25,3,0.540541,0.641667,0,0,0.299265,5,0.00861,1,12,0.196429,0.007693
AVANTE,AVANTE,,0,1,1,0,0.25,0.25,5,0.296875,0.345614,0,0,0.062859,5,0.00861,1,13,0,0
MDB,MDB,,6,10,16,2.25,2.75,5,3,0.666667,0.768519,142.533333,0.262581,0.43956,8,0.078506,1,4,0.19697,0.663608
DEM,DEM,,6,0,6,2,0,2,0,0,0,0,0.284998,0,8,0.084439,1,1,0.433333,0.875113
PROS,PROS,,5,6,11,1.25,2.5,3.75,4,0.473684,0.601852,39.033333,0.226189,0.26479,3,0.039183,1,4,0.154545,0.325426
REDE,REDE,,0,1,1,0,0.25,0.25,4,0.345455,0.381579,0,0,0.010034,8,0.00861,1,14,0,0
PCO,PCO,,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00861,4,15,0,0
PPS,PPS,,3,3,6,0.75,0.75,1.5,3,0.5,0.555556,33.583333,0.057136,0.144094,8,0.029023,1,4,0.25,0.154542
PV,PV,,2,0,2,0.75,0,0.75,0,0,0,0,0.047526,0,5,0.020719,1,2,0,0.084623
PSDB,PSDB,,2,6,8,0.75,1.75,2.5,4,0.514286,0.625,47.983333,0.094331,0.262283,5,0.028339,1,4,0.142857,0.289727
PSL,PSL,,3,1,4,0.75,0.25,1,5,0.3,0.350926,0.65,0.185512,0.062859,5,0.014269,1,4,0.083333,0.087389
PSTU,PSTU,,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00861,5,16,0,0
DC,DC,,0,0,0,0,0,0,0,0,0,0,0,0,7,0.00861,6,17,0,0
PMB,PMB,,0,10,10,0,4.5,4.5,3,0.633333,0.745614,0,0,0.494823,8,0.00861,1,18,0.288889,0
PHS,PHS,,4,1,5,1.25,0.25,1.5,4,0.409091,0.449074,16.428571,0.183906,0.046113,3,0.033463,1,4,0.25,0.442438
PR,PR,,10,4,14,3.25,1.5,4.75,4,0.473684,0.560185,103.9,0.448904,0.197564,8,0.110583,1,4,0.219697,1
SD,SD,,2,3,5,0.5,0.75,1.25,4,0.428571,0.509259,7.161905,0.164089,0.144104,8,0.016011,1,4,0.5,0.184938
PSB,PSB,,2,4,6,0.5,1,1.5,4,0.418605,0.523148,27.319048,0.108026,0.171661,3,0.019147,1,4,0.15,0.228834
PRTB,PRTB,,0,0,0,0,0,0,0,0,0,0,0,0,9,0.00861,7,19,0,0
PDT,PDT,,5,4,9,1.75,1,2.75,4,0.4,0.50463,34.607143,0.243401,0.171213,3,0.040233,1,4,0.214286,0.334145
PP,PP,,9,3,12,2.75,0.75,3.5,4,0.4,0.481481,74.559524,0.357943,0.144133,5,0.114649,1,4,0.209091,0.983404
